,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
372,Panacan,9.25,118.41,83.53,78,100,15.82,PH,1596169209
373,Toshām,28.88,75.92,93.31,52,61,5.95,IN,1596169210
374,Adrar,20.5,-10.07,86.14,49,54,8.12,MR,1596169210
375,Hambantota,6.12,81.12,84.2,89,40,13.87,LK,1596169027
376,Chacabuco,-34.64,-60.47,39.0,79,68,5.01,AR,1596169210
377,San Juan,-31.54,-68.54,52.27,39,0,8.34,AR,1596169211
378,Shingū,33.73,135.98,86.0,79,20,8.05,JP,1596169211
379,Huanta,-12.93,-74.25,53.62,66,82,2.01,PE,1596169211
380,Waddān,29.16,16.14,72.05,51,0,5.19,LY,1596169211
381,Grindavik,63.84,-22.43,51.8,93,75,9.17,IS,1596169212
382,Galle,6.04,80.22,81.37,85,100,13.49,LK,1596169212
383,Pangnirtung,66.15,-65.71,50.29,85,100,8.52,CA,1596169212
384,Palma de Mallorca,39.57,2.65,79.0,53,4,4.7,ES,1596169022
385,Am Timan,11.03,20.28,71.8,94,88,5.48,TD,1596169213
386,Paka,4.64,103.44,80.6,88,40,5.82,MY,1596169213
387,Venustiano Carranza,19.43,-99.1,62.6,88,75,5.82,MX,1596169213
388,Bacolod City,10.67,122.95,86.2,71,100,10.63,PH,1596169214
389,Bireun,5.2,96.7,86.83,57,90,2.3,ID,1596169214
390,Brejning,55.66,9.68,52.0,93,28,3.36,DK,1596169214
391,Goundam,16.41,-3.67,90.75,42,0,13.38,ML,1596169215
392,Province of Mantua,45.17,10.78,77.0,86,0,3.0,IT,1596169215
393,Bezhanitsy,56.98,29.89,54.63,91,100,7.9,RU,1596169216
394,Yar-Sale,66.83,70.83,61.3,61,0,3.29,RU,1596169216
395,Markova,48.68,24.41,62.6,88,79,4.47,UA,1596169216
396,Atherton,53.52,-2.49,64.0,60,37,4.0,GB,1596169217
397,Oyama,36.3,139.8,80.6,74,75,2.24,JP,1596169217
398,Bela,25.93,81.98,89.49,60,84,4.34,IN,1596169217
399,Yaypan,40.38,70.82,89.38,18,98,10.87,UZ,1596169217
400,Mattru,7.62,-11.83,71.71,98,32,1.63,SL,1596169218
401,Montecristi,-1.05,-80.67,69.8,88,90,5.82,EC,1596169218
402,Muriwai Beach,-36.82,174.45,57.99,72,100,3.0,NZ,1596169033
403,Kupang,-10.17,123.58,83.79,47,0,16.67,ID,1596169218
404,Newport,51.59,-3.0,64.99,80,0,7.27,GB,1596169067
405,Vestmanna,62.16,-7.17,51.8,93,100,25.28,FO,1596169219
406,Buritis,-15.62,-46.42,63.09,43,0,3.44,BR,1596169219
407,Beyneu,45.32,55.2,76.59,43,0,3.49,KZ,1596169219
408,Mandalgovi,45.76,106.27,84.69,16,42,17.83,MN,1596169219
409,Båtsfjord,70.63,29.72,51.8,93,75,6.93,NO,1596169220
410,Azovo,54.7,73.02,60.8,77,75,8.95,RU,1596169220
411,Puro,12.48,123.38,84.61,75,100,8.59,PH,1596169220
412,Egvekinot,66.32,-179.17,51.35,61,54,5.08,RU,1596169221
413,Borisoglebsk,51.37,42.08,66.99,93,77,4.9,RU,1596169221
414,Corralillo,22.98,-80.59,81.79,80,0,17.4,CU,1596169222
415,Dawlatabad,36.41,64.91,84.65,34,0,12.08,AF,1596169223
416,Ust-Nera,64.57,143.2,65.88,28,10,3.89,RU,1596169223
417,Madang,-5.22,145.8,83.79,78,100,8.99,PG,1596169223
418,Grahamstown,-33.3,26.53,42.21,94,0,3.83,ZA,1596169224
419,Lixouri,38.2,20.43,75.2,69,0,5.39,GR,1596169224
420,Manuk Mangkaw,4.8,119.85,83.26,78,100,18.92,PH,1596169224
421,Lakes Entrance,-37.88,147.98,60.01,58,55,1.01,AU,1596169224
422,Garango,11.8,-0.55,77.32,79,99,8.99,BF,1596169225
423,Marawi,8.0,124.29,84.0,76,100,4.0,PH,1596169225
424,Northam,51.03,-4.22,66.99,66,0,3.0,GB,1596169121
425,Chake Chake,-5.25,39.77,76.41,83,25,13.2,TZ,1596169226
426,Tuensang,26.28,94.83,75.76,84,99,1.23,IN,1596169226
427,Marabu,4.41,114.01,86.0,74,40,16.11,MY,1596169226
428,Sola,-13.88,167.55,82.4,83,90,14.07,VU,1596169227
429,Port Blair,11.67,92.75,83.12,76,100,18.99,IN,1596169227
430,Pacifica,37.61,-122.49,60.8,77,40,16.11,US,1596169048
431,Champerico,14.3,-91.92,81.97,79,33,6.55,GT,1596169227
432,Decatur,39.84,-88.95,72.0,94,40,9.17,US,1596169103
433,Nyrob,60.73,56.72,60.22,96,99,7.29,RU,1596169228
434,Biltine,14.53,20.92,76.6,79,100,15.68,TD,1596169228
435,San Rafael,-34.62,-68.33,48.61,47,14,9.4,AR,1596169228
436,Ust'-Omchug,61.15,149.63,53.4,51,89,15.01,RU,1596169229
437,Vila Franca do Campo,37.72,-25.43,69.8,73,40,6.93,PT,1596169229
438,Andenes,69.31,16.12,59.0,87,0,2.24,NO,1596168990
439,Yaan,7.38,8.57,71.83,97,100,7.07,NG,1596169229
440,Goderich,43.75,-81.72,72.0,74,0,1.99,CA,1596168931
441,Kidal,18.44,1.41,89.91,22,0,4.52,ML,1596169230
442,Westerland,54.91,8.3,57.2,87,63,5.82,DE,1596169230
443,Sulangan,11.14,123.72,84.51,67,100,3.56,PH,1596169231
444,Parit Buntar,5.13,100.49,78.8,94,40,4.7,MY,1596169232
445,Leshukonskoye,64.9,45.76,55.69,60,95,8.23,RU,1596169232
446,Kibre Mengist,5.88,38.98,56.82,93,11,1.68,ET,1596169232
447,Codrington,-38.27,141.97,57.16,69,96,10.56,AU,1596169232
448,Bandarbeyla,9.49,50.81,81.93,62,0,28.12,SO,1596169233
449,Sarankhola,22.31,89.79,89.11,67,26,4.14,BD,1596169233
450,Atar,20.52,-13.05,84.04,54,100,3.71,MR,1596169233
451,Esil,51.96,66.4,75.2,54,82,6.15,KZ,1596169233
452,Tiksi,71.69,128.87,42.89,84,97,6.71,RU,1596169234
453,The Valley,18.22,-63.06,82.4,74,20,12.75,AI,1596169166
454,Karratha,-20.74,116.85,81.57,18,0,9.24,AU,1596169234
455,Carutapera,-1.2,-46.02,75.74,92,50,3.51,BR,1596169234
456,Noyabrsk,63.2,75.45,63.79,46,17,10.45,RU,1596169235
457,Georgiyevskoye,58.73,45.02,55.2,95,75,5.77,RU,1596169235
458,Chicama,-7.84,-79.15,61.57,79,59,1.57,PE,1596169235
459,Govlyar,40.95,45.73,71.6,64,75,4.7,AZ,1596169236
460,Le Port,-20.94,55.29,70.0,73,35,4.7,RE,1596169237
461,Jalu,29.03,21.55,75.72,47,0,8.93,LY,1596169031
462,Cao Bang,22.67,106.25,88.03,74,91,1.61,VN,1596169237
463,Rio Grande,-32.03,-52.1,48.0,96,0,13.76,BR,1596169031
464,Snåase,64.25,12.38,56.01,89,100,4.43,NO,1596169238
465,Bandar-e Lengeh,26.56,54.88,95.0,75,8,13.87,IR,1596169238
466,Correntina,-13.34,-44.64,60.26,41,0,4.9,BR,1596169238
467,Tocopilla,-22.09,-70.2,59.9,57,13,5.97,CL,1596169238
468,Mindelo,16.89,-24.98,77.0,73,20,12.75,CV,1596169239
469,Cangzhou,38.32,116.87,94.28,45,18,10.65,CN,1596169240
470,Kloulklubed,7.04,134.26,75.2,94,90,5.82,PW,1596169241
471,Labuhan,-6.88,112.21,86.43,50,5,5.08,ID,1596169241
472,Bereda,43.27,-7.54,61.0,100,1,1.45,ES,1596169241
473,Gulbarga,17.33,76.83,81.39,76,89,8.16,IN,1596169242
474,Nizwá,22.93,57.53,93.99,32,29,3.18,OM,1596169242
475,Udayagiri,20.13,84.38,83.55,72,100,1.81,IN,1596169242
476,Ratnagiri,16.98,73.3,83.03,76,100,3.58,IN,1596169243
477,Ayat,9.03,38.85,57.2,87,90,4.7,ET,1596169243
478,Kosikha,53.36,84.58,69.8,32,0,8.95,RU,1596169243
479,Batemans Bay,-35.72,150.18,57.0,58,0,4.0,AU,1596169243
480,Scottsbluff,41.87,-103.67,66.2,82,1,4.61,US,1596169243
481,Myitkyina,25.38,97.4,83.28,86,83,1.03,MM,1596169244
482,Vikulovo,56.82,70.61,57.87,89,99,4.29,RU,1596169244
483,Sirte,31.21,16.59,76.69,78,0,6.76,LY,1596169244
484,Belaya Kholunitsa,58.84,50.85,59.54,90,39,6.76,RU,1596169244
485,Miraflores,19.22,-98.81,62.6,88,75,5.82,MX,1596169245
486,Dickinson,29.46,-95.05,82.99,88,20,6.93,US,1596169245
487,Mwene-Ditu,-7.0,23.45,62.38,42,0,5.17,CD,1596169245
488,Deer Lake,49.17,-57.43,60.03,91,61,4.85,CA,1596169245
489,Wairoa,-39.03,177.37,57.99,52,93,4.0,NZ,1596169246
490,Biryusinsk,55.96,97.82,68.88,74,91,6.4,RU,1596169246
491,Caniço,32.63,-16.85,66.2,72,20,5.82,PT,1596169246
492,Maryville,35.76,-83.97,80.01,78,75,13.87,US,1596169246
493,Penza,53.2,45.0,69.01,60,73,5.41,RU,1596169247
494,Sawākin,19.11,37.33,91.94,54,93,10.07,SD,1596169247
495,Lavrentiya,65.58,-171.0,45.23,81,100,9.33,RU,1596169247
496,Yeppoon,-23.13,150.73,75.2,38,18,12.75,AU,1596169079
497,Guanare,9.04,-69.74,72.75,94,96,1.74,VE,1596169248
498,Nizhnyaya Salda,58.08,60.72,64.94,90,98,9.1,RU,1596169248
499,Emerald,-23.53,148.17,75.2,27,0,16.11,AU,1596169018
500,Freeport,40.66,-73.58,82.0,74,1,4.12,US,1596169244
501,Leavenworth,39.23,-95.03,71.01,96,100,1.01,US,1596168955
502,Scarborough,54.28,-0.4,59.0,78,100,9.75,GB,1596169249
503,Marzuq,14.4,46.47,78.58,55,100,3.67,YE,1596169249
504,Mukhen,48.1,136.1,85.96,51,25,4.72,RU,1596169249
505,Eureka,40.8,-124.16,59.0,100,2,3.29,US,1596169250
506,Manokwari,-0.87,134.08,84.63,65,47,5.59,ID,1596169250
507,Saint-Pierre,-21.34,55.48,70.0,68,48,5.82,RE,1596169250
508,Media Luna,20.14,-77.44,80.58,76,11,21.92,CU,1596169250
509,Charters Towers,-20.1,146.27,73.89,28,0,11.95,AU,1596169250
510,Zaria,11.11,7.72,69.42,93,87,8.9,NG,1596169251
511,Bima,-8.47,118.72,87.76,39,24,8.01,ID,1596169251
512,Waingapu,-9.66,120.26,84.11,46,0,14.74,ID,1596169252
513,Teya,60.38,92.63,61.93,73,100,6.42,RU,1596169252
514,Teguise,29.06,-13.56,71.6,78,61,5.82,ES,1596169253
515,Deputatsky,69.3,139.9,59.5,45,0,4.65,RU,1596169253
516,Warkworth,-36.4,174.67,57.0,81,100,3.0,NZ,1596169253
517,Salalah,17.02,54.09,82.4,94,90,2.24,OM,1596169032
518,Havøysund,71.0,24.66,57.2,81,75,9.17,NO,1596169254
519,Hirado,33.36,129.55,89.6,66,75,5.82,JP,1596169255
520,Belgrade,44.8,20.47,71.6,88,0,5.82,RS,1596169256
521,Melfi,41.0,15.65,78.01,64,5,1.12,IT,1596169256
522,Lakselv,70.05,24.97,55.4,66,14,13.87,NO,1596169257
523,Porangatu,-13.44,-49.15,72.19,36,0,5.28,BR,1596169257
524,Takaka,-40.85,172.8,55.99,80,100,7.0,NZ,1596169257
525,General Higinio Morínigo,-25.95,-55.92,58.01,96,86,2.95,PY,1596169257
526,Kumul,42.8,93.45,80.98,21,0,5.37,CN,1596169258
527,Deder,9.32,41.45,56.57,100,100,1.34,ET,1596169258
528,Lakeside,30.13,-81.77,78.8,83,75,5.46,US,1596169023
529,Cotonou,6.37,2.42,75.87,83,100,12.15,BJ,1596169258
530,Salta,-24.79,-65.41,37.4,74,9,3.36,AR,1596169259
531,Sørland,67.67,12.69,58.51,79,40,6.02,NO,1596169259
532,Khovd,48.01,91.64,64.58,32,0,1.86,MN,1596169259
533,Toumodi,6.56,-5.02,73.4,94,75,4.7,CI,1596169259
534,Shimoda,34.67,138.95,82.4,78,75,14.99,JP,1596169194
535,Koungou,-12.73,45.2,77.0,78,75,21.92,YT,1596169260
536,Tautira,-17.73,-149.15,80.6,78,75,8.05,PF,1596169260
537,Soure,-0.72,-48.52,80.56,75,80,5.59,BR,1596169260
538,Kota Tinggi,1.74,103.9,89.01,83,20,3.36,MY,1596169006
539,Zhangye,38.93,100.45,83.73,20,68,14.61,CN,1596169261
540,Sungai Padi,6.09,101.88,87.8,74,20,4.7,TH,1596169261
541,Banes,20.96,-75.72,77.0,94,75,10.29,CU,1596169261
542,Hobyo,5.35,48.53,78.78,75,29,23.17,SO,1596169261
543,Ilulissat,69.22,-51.1,44.6,75,71,4.7,GL,1596169262
544,Twin Falls,42.56,-114.46,87.8,44,1,9.17,US,1596169061
545,Ixtapa,20.7,-105.2,81.0,94,90,2.24,MX,1596169262
546,Port Moresby,-9.44,147.18,78.37,68,8,19.04,PG,1596169262
547,Tayu,-6.54,111.05,87.64,42,5,6.64,ID,1596169262
548,Pandan,14.05,124.17,82.96,79,100,0.38,PH,1596169263
549,Vlădaia,44.35,23.03,72.0,94,0,3.36,RO,1596169263
550,Kolda,12.88,-14.95,77.0,94,40,4.7,SN,1596169263
551,Oxford,51.75,-1.26,68.0,72,0,5.82,GB,1596169263
552,Arrondissement de Villefranche-de-Rouergue,44.33,2.0,69.8,52,34,8.05,FR,1596169264
553,Bekes,46.75,21.0,66.99,81,0,1.99,HU,1596169264
554,Puerto Quijarro,-17.78,-57.77,66.49,64,0,2.35,BO,1596169264
555,Sioux Lookout,50.1,-91.92,59.0,87,5,2.57,CA,1596169264
556,Camalú,30.85,-116.07,69.67,76,0,4.74,MX,1596169264
557,Tanete,-3.94,119.78,81.46,69,95,8.55,ID,1596169264
558,Zhangjiakou,40.81,114.88,80.38,58,100,7.38,CN,1596169265
559,Zyryanka,65.75,150.85,61.25,41,77,3.58,RU,1596169265
560,Faya,18.39,42.45,68.0,88,40,4.07,SA,1596169265
561,Laguna de Perlas,12.34,-83.67,79.99,87,84,6.26,NI,1596169266
562,Southbridge,42.08,-72.03,71.01,86,100,2.59,US,1596169180
563,Pochutla,15.74,-96.47,76.62,84,91,3.62,MX,1596169266
