,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
84,São Filipe,14.9,-24.5,75.25,76,11,6.71,CV,1596169122
85,Calabozo,8.92,-67.43,73.45,93,91,2.35,VE,1596169123
86,Bingöl,38.88,40.49,73.06,45,0,7.78,TR,1596169123
87,Narsaq,60.92,-46.05,44.6,87,100,5.82,GL,1596169123
88,Jaciara,-15.97,-54.97,70.45,53,49,0.58,BR,1596169123
89,Thompson,55.74,-97.86,64.4,100,90,6.93,CA,1596169124
90,Inhambane,-23.86,35.38,64.26,84,1,9.19,MZ,1596169124
91,Nome,64.5,-165.41,55.99,87,75,9.17,US,1596168930
92,Lebu,-37.62,-73.65,50.14,93,33,12.48,CL,1596169124
93,Hamilton,39.18,-84.53,71.01,94,90,5.82,US,1596168915
94,Dakar,14.69,-17.44,78.8,88,75,10.29,SN,1596168849
95,Diffa,13.32,12.61,76.48,64,83,14.36,NE,1596169125
96,Provideniya,64.38,-173.3,50.0,76,90,13.42,RU,1596169125
97,Yangi Marg`ilon,40.43,71.72,84.2,32,99,4.7,UZ,1596169008
98,Nanortalik,60.14,-45.24,43.25,89,99,4.56,GL,1596169126
99,Ahipara,-35.17,173.17,58.77,74,100,12.39,NZ,1596169126
100,Kieta,-6.22,155.63,83.79,73,100,1.45,PG,1596169126
101,Batagay-Alyta,67.8,130.41,62.46,44,0,5.7,RU,1596169127
102,Marshall,34.38,-86.33,78.01,83,1,5.82,US,1596169127
103,‘Ewa Beach,21.32,-158.01,82.4,65,75,8.05,US,1596169127
104,Iqaluit,63.75,-68.51,51.8,81,90,5.82,CA,1596169128
105,Sept-Îles,50.2,-66.38,61.0,100,90,3.36,CA,1596169128
106,Bluff,-46.6,168.33,52.43,81,94,9.55,NZ,1596169128
107,Porto-Novo,6.5,2.6,75.24,82,100,9.1,BJ,1596169128
108,Taganak,6.08,118.3,87.8,70,40,4.7,PH,1596169129
109,Bethel,41.37,-73.41,73.4,88,1,2.06,US,1596169129
110,Dunedin,-45.87,170.5,51.01,76,86,1.99,NZ,1596169129
111,Tāybād,34.74,60.78,78.12,39,0,18.88,IR,1596169129
112,Maningrida,-12.07,134.27,83.59,41,0,13.6,AU,1596169130
113,Isangel,-19.55,169.27,78.8,74,48,6.93,VU,1596169130
114,Kodinsk,58.69,99.18,79.56,45,25,2.62,RU,1596169130
115,Esperance,-33.87,121.9,62.6,77,0,11.41,AU,1596169131
116,Punta Arenas,-53.15,-70.92,37.4,93,100,14.99,CL,1596169131
117,Conde,-7.26,-34.91,69.49,92,19,8.19,BR,1596169132
118,Coron,12.0,120.2,82.87,83,100,9.89,PH,1596169139
119,Devils Lake,48.11,-98.87,73.4,73,1,10.29,US,1596169139
120,Mbini,1.57,9.61,77.0,100,40,4.7,GQ,1596169139
121,Belmonte,-15.86,-38.88,69.8,88,75,2.24,BR,1596169139
122,Lüderitz,-26.65,15.16,78.8,15,0,18.34,NA,1596169140
123,Saskylakh,71.92,114.08,66.43,50,2,3.76,RU,1596169140
124,San Cristobal,7.77,-72.22,66.42,91,94,4.68,VE,1596168871
125,Haimen,23.19,116.61,93.2,56,75,15.66,CN,1596169140
