city_id,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
85,Springville,40.17,-111.61,84.2,37,1,6.51,US,1596259566
86,Micheweni,-4.97,39.83,76.64,75,46,17.05,TZ,1596259744
87,Nikolskoye,59.7,30.79,57.2,71,40,11.18,RU,1596259448
88,New Norfolk,-42.78,147.06,64.0,66,41,4.0,AU,1596259401
89,Birin,26.89,88.07,74.3,83,100,3.58,NP,1596259744
90,Östersund,63.18,14.64,55.4,93,82,3.36,SE,1596259745
91,Saint George,37.1,-113.58,91.99,16,1,5.82,US,1596259418
92,Huarmey,-10.07,-78.15,60.13,87,36,4.09,PE,1596259519
93,Esperance,-33.87,121.9,59.0,62,90,5.32,AU,1596259427
94,Tuktoyaktuk,69.45,-133.04,59.0,77,20,13.87,CA,1596259407
95,Barrow,71.29,-156.79,35.6,80,75,5.82,US,1596259260
96,Kovdor,67.57,30.48,50.99,79,96,7.31,RU,1596259746
97,Portobelo,9.55,-79.65,79.0,88,20,2.24,PA,1596259752
98,Nadvoitsy,63.87,34.32,53.98,83,44,9.4,RU,1596259752
99,Kewanee,41.25,-89.92,69.01,85,97,7.49,US,1596259752
100,East London,-33.02,27.91,50.0,76,0,8.05,ZA,1596259426
101,Ahipara,-35.17,173.17,58.33,76,100,19.13,NZ,1596259449
102,Port Elizabeth,-33.92,25.57,44.6,93,0,3.36,ZA,1596259409
103,Yulara,-25.24,130.99,75.2,8,0,5.82,AU,1596259462
104,Woodstock,43.13,-80.75,66.99,88,75,4.7,CA,1596259754
105,Årdalstangen,61.24,7.7,59.0,82,0,6.93,NO,1596259755
106,Payakumbuh,-0.22,100.63,85.77,58,83,1.61,ID,1596259755
107,Champawat,29.33,80.1,71.67,95,40,3.6,IN,1596259755
108,Faanui,-16.48,-151.75,78.8,77,0,12.35,PF,1596259444
109,Lebu,-37.62,-73.65,50.56,81,100,14.36,CL,1596259412
110,Dikson,73.51,80.55,53.49,79,93,8.08,RU,1596259417
111,Mar del Plata,-38.0,-57.56,48.99,100,5,8.39,AR,1596259481
112,Zhigansk,66.77,123.37,70.23,41,0,12.39,RU,1596259501
113,Zeya,53.75,127.27,77.65,61,93,4.0,RU,1596259757
114,São João da Barra,-21.64,-41.05,68.11,74,95,8.19,BR,1596259757
115,Sibolga,1.74,98.78,85.05,64,95,5.12,ID,1596259445
116,Kota Belud,6.35,116.43,87.8,70,20,3.36,MY,1596259758
117,Pedro II,-4.42,-41.46,67.66,66,24,6.08,BR,1596259758
118,Bacungan,9.91,118.7,84.43,73,100,6.51,PH,1596259758
119,Kruisfontein,-34.0,24.73,46.87,86,0,3.6,ZA,1596259415
120,Longyearbyen,78.22,15.64,44.6,93,90,2.24,SJ,1596259292
121,Keti Bandar,24.14,67.45,88.95,66,86,8.77,PK,1596259492
122,Agadez,19.75,10.25,87.55,41,99,7.72,NE,1596259760
123,Dakar,14.69,-17.44,78.8,88,20,5.82,SN,1596259344
124,Atuona,-9.8,-139.03,78.8,75,20,19.82,PF,1596259408
125,Cape Town,-33.93,18.42,46.4,100,0,2.24,ZA,1596259370
126,Samfya,-11.36,29.56,52.43,68,11,8.75,ZM,1596259761
127,Saskylakh,71.92,114.08,72.97,37,9,5.21,RU,1596259428
128,Pisco,-13.7,-76.22,60.8,82,90,4.7,PE,1596259460
129,Tura,25.52,90.22,86.29,75,74,3.47,IN,1596259413
130,Vila Velha,-20.33,-40.29,64.4,100,75,3.36,BR,1596259337
131,Kaset Sombun,16.28,101.95,84.34,72,99,7.43,TH,1596259762
132,Leshukonskoye,64.9,45.76,56.86,63,54,8.16,RU,1596259762
133,Kattivākkam,13.22,80.32,87.8,66,75,4.7,IN,1596259762
134,Sarāhan,31.52,77.8,72.23,61,51,6.17,IN,1596259459
135,Waipawa,-41.41,175.52,53.6,71,100,2.24,NZ,1596259763
136,Amstetten,48.12,14.87,66.99,82,0,3.36,AT,1596259763
137,Naze,28.37,129.48,89.6,74,20,6.93,JP,1596259763
138,Atambua,-9.11,124.89,80.83,47,2,4.07,ID,1596259481
139,Ribeira Grande,38.52,-28.7,70.0,63,21,2.55,PT,1596259411
140,George Town,5.41,100.34,89.6,52,20,6.93,MY,1596259764
141,Bathsheba,13.22,-59.52,82.4,74,40,12.75,BB,1596259454
142,Marrakesh,31.63,-8.01,78.8,54,40,6.93,MA,1596259246
143,Hobart,-42.88,147.33,64.0,48,40,16.11,AU,1596259232
144,Guerrero Negro,27.98,-114.06,72.52,73,0,7.07,MX,1596259437
145,Kropotkin,45.44,40.58,75.87,67,35,15.75,RU,1596259765
146,Riyadh,24.69,46.72,96.8,26,0,2.08,SA,1596259600
147,Baikunthpur,23.25,82.55,90.46,54,65,1.95,IN,1596259765
148,Changde,29.05,111.68,92.46,62,66,3.33,CN,1596259756
149,Lorengau,-2.02,147.27,84.69,73,93,6.33,PG,1596259445
150,Sydney,-33.87,151.21,66.99,39,12,4.7,AU,1596259635
151,Bako,5.78,36.57,64.92,89,100,3.58,ET,1596259534
152,Trairi,-3.28,-39.27,74.46,87,68,8.63,BR,1596259446
153,Dingle,11.0,122.67,80.2,83,100,3.33,PH,1596259400
154,Jiayuguan City,39.82,98.3,79.39,17,0,9.1,CN,1596259767
155,Hamilton,39.18,-84.53,75.99,88,90,4.7,US,1596259358
156,Tomatlán,19.93,-105.25,76.41,92,100,5.12,MX,1596259768
157,Chicama,-7.84,-79.15,60.85,85,12,3.04,PE,1596259768
158,Mahina,-17.51,-149.49,78.8,74,20,3.36,PF,1596259768
159,Omsukchan,62.53,155.8,59.65,51,84,13.04,RU,1596259768
160,Port Alfred,-33.59,26.89,55.26,76,0,5.21,ZA,1596259425
161,Selma,36.57,-119.61,86.0,41,1,11.48,US,1596259665
162,Sakaiminato,35.55,133.23,89.6,66,75,10.29,JP,1596259769
163,Ilo,-17.64,-71.34,57.83,80,70,2.86,PE,1596259769
164,Pangnirtung,66.15,-65.71,50.02,82,98,0.58,CA,1596259449
165,Henties Bay,-22.12,14.28,73.99,21,0,18.99,NA,1596259267
166,Hojāi,26.0,92.87,88.2,73,89,0.92,IN,1596259771
167,Dongsheng,39.82,109.98,89.53,26,79,14.7,CN,1596259645
168,Tekeli,44.83,78.82,79.07,28,88,4.09,KZ,1596259774
169,Qaanaaq,77.48,-69.36,34.09,85,1,0.78,GL,1596259420
170,Okhotsk,59.38,143.3,63.18,56,34,10.42,RU,1596259774
171,Grindavik,63.84,-22.43,50.0,100,90,11.41,IS,1596259417
172,Port Blair,11.67,92.75,81.34,84,100,19.84,IN,1596259253
173,Louny,50.36,13.8,71.01,70,20,1.41,CZ,1596259775
174,Abnūb,27.27,31.15,82.4,58,0,8.05,EG,1596259776
175,Geraldton,-28.77,114.6,71.6,37,8,12.75,AU,1596259776
176,Sitka,57.05,-135.33,68.0,64,75,8.05,US,1596259433
177,Xining,36.62,101.77,75.99,39,0,2.68,CN,1596259719
178,Tual,-5.67,132.75,78.46,82,84,23.44,ID,1596259777
179,Copiapó,-27.37,-70.33,51.8,93,90,2.24,CL,1596259778
180,Sobolevo,54.43,31.9,54.5,91,100,10.63,RU,1596259464
181,Sinnamary,5.38,-52.95,77.32,86,85,5.75,GF,1596259778
182,Acapulco de Juárez,16.86,-99.89,81.23,73,57,2.98,MX,1596259778
183,Petropavlovsk-Kamchatskiy,53.05,158.65,73.4,38,21,11.18,RU,1596259476
184,Katsuura,35.13,140.3,88.0,74,75,17.22,JP,1596259435
185,Buala,-8.14,159.59,84.65,66,97,3.96,SB,1596259527
186,Alice Springs,-23.7,133.88,75.0,12,0,5.82,AU,1596259779
187,Almaznyy,48.04,40.05,66.2,88,40,8.95,RU,1596259779
188,Ribeira Brava,32.65,-17.07,66.0,51,0,4.0,PT,1596259780
189,Coyhaique,-45.58,-72.07,35.6,100,90,6.93,CL,1596259462
190,Dūngarpur,23.83,73.72,87.51,69,50,10.22,IN,1596259781
191,Pinehurst,35.2,-79.47,82.4,78,1,3.36,US,1596259785
192,George Town,5.41,100.34,89.6,52,20,6.93,MY,1596259180
193,Faaa,-17.55,-149.6,78.8,74,20,3.36,PF,1596259507
194,Boguchany,58.38,97.45,74.68,52,47,6.93,RU,1596259785
195,Andra,62.51,65.89,64.69,79,78,9.73,RU,1596259481
196,Baicheng,45.62,122.82,99.23,24,33,13.44,CN,1596259791
197,Isil'kul',54.91,71.27,75.65,62,82,10.87,RU,1596259792
198,Waiuku,-37.25,174.75,57.99,71,100,16.11,NZ,1596259792
199,Lukovetskiy,64.3,41.92,53.6,81,40,6.71,RU,1596259792
200,Mackay,-21.15,149.2,71.6,60,24,20.8,AU,1596259792
201,Vanimo,-2.67,141.3,84.45,69,41,3.47,PG,1596259507
202,Tomohon,1.33,124.84,78.8,94,40,3.36,ID,1596259793
203,Zuénoula,7.43,-6.04,70.9,96,100,4.68,CI,1596259793
204,Tatvan,38.51,42.28,75.2,47,40,2.24,TR,1596259793
205,Barcelos,41.54,-8.62,64.0,100,90,2.24,PT,1596259795
206,São Félix do Xingu,-6.64,-51.99,67.89,51,0,2.15,BR,1596259796
207,Mahébourg,-20.41,57.7,73.4,73,75,10.29,MU,1596259432
208,Chui,-33.7,-53.46,47.14,91,22,1.32,UY,1596259406
209,Ubari,26.59,12.78,80.49,20,0,9.48,LY,1596259796
210,Castro,-24.79,-50.01,48.94,97,43,5.95,BR,1596259438
211,Vyazemskiy,47.54,134.75,77.61,86,100,7.0,RU,1596259797
212,Nantucket,41.28,-70.1,66.2,93,20,4.7,US,1596259799
213,Zasheyek,67.41,32.55,55.58,67,75,9.78,RU,1596259802
214,Hanmer Springs,-42.52,172.82,47.62,71,100,5.84,NZ,1596259802
215,Pokhara,28.23,83.98,80.67,69,94,2.91,NP,1596259804
216,Mil'kovo,54.72,158.62,57.38,79,98,2.71,RU,1596259804
217,Saurimo,-9.66,20.39,64.38,41,46,9.73,AO,1596259805
218,Felipe Carrillo Puerto,19.58,-88.05,76.57,99,11,2.39,MX,1596259805
219,Fayaoué,-20.65,166.53,70.9,76,90,24.11,NC,1596259805
220,Hofn,64.25,-15.21,52.02,94,100,11.27,IS,1596259806
221,Vila Franca do Campo,37.72,-25.43,66.2,77,20,3.36,PT,1596259450
222,Aykhal,66.0,111.5,73.4,38,0,4.47,RU,1596259807
223,Igarka,67.47,86.58,66.16,57,72,14.76,RU,1596259807
224,San Nicolas,18.17,120.6,87.8,74,90,4.7,PH,1596259808
225,Peleduy,59.63,112.74,77.2,35,88,15.28,RU,1596259808
226,Lashio,22.93,97.75,86.45,60,96,3.09,MM,1596259809
227,Atbasar,51.8,68.33,83.68,32,15,3.31,KZ,1596259810
228,Tasiilaq,65.61,-37.64,41.0,75,1,5.82,GL,1596259436
229,Comodoro Rivadavia,-45.87,-67.5,53.6,51,100,19.46,AR,1596259692
230,Tuatapere,-46.13,167.68,53.56,88,96,3.62,NZ,1596259480
231,Laas,46.62,10.7,66.99,82,5,3.36,IT,1596259453
232,Cuamba,-14.8,36.54,63.37,65,5,8.41,MZ,1596259811
233,Ottawa,45.41,-75.7,69.8,73,5,5.82,CA,1596259807
234,Maun,-19.98,23.42,53.6,37,0,12.75,BW,1596259811
235,Moussoro,13.64,16.49,83.82,56,24,8.28,TD,1596259812
236,Clyde River,70.47,-68.59,42.8,100,90,4.7,CA,1596259419
237,Marawi,8.0,124.29,82.0,84,95,4.0,PH,1596259812
238,Oyama,36.3,139.8,93.99,69,40,14.99,JP,1596259812
239,Santa Rita,-7.11,-34.98,71.6,100,20,4.7,BR,1596259812
240,Dinga,32.64,73.72,78.8,88,75,7.94,PK,1596259814
241,Asău,46.43,26.4,69.01,88,14,5.82,RO,1596259505
242,Novyye Gorki,56.73,41.06,63.18,72,4,2.75,RU,1596259814
243,Batemans Bay,-35.72,150.18,60.01,68,68,1.01,AU,1596259815
244,Trenggalek,-8.05,111.72,81.95,60,55,7.74,ID,1596259815
245,Matamoros,25.53,-103.25,75.0,61,65,9.71,MX,1596259815
246,Harper,4.38,-7.72,74.91,86,100,10.31,LR,1596259529
247,Thompson,55.74,-97.86,55.4,100,40,3.36,CA,1596259437
248,Kirovskiy,45.09,133.51,86.31,64,92,8.25,RU,1596259816
249,Middle Island,40.88,-72.94,71.01,88,1,5.26,US,1596259740
250,Kieta,-6.22,155.63,80.71,78,100,1.61,PG,1596259817
